    + --- ---------------- --------- +
    |                plain recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
4140 | 1296             1297 2.076e-05 |
4160 | 1302             1303 2.108e-05 |
4180 | 1310             1311 2.126e-05 |
4200 | 1314             1315 2.160e-05 |
4220 | 1320             1321 2.150e-05 |
4240 | 1327             1328 2.154e-05 |
4260 | 1331             1332 2.159e-05 |
4280 | 1340             1341 2.210e-05 |
4300 | 1345             1346 2.207e-05 |
4320 | 1349             1350 2.221e-05 |
4340 | 1359             1360 2.237e-05 |
4360 | 1363             1364 5.157e-04 |
4380 | 1367             1368 2.286e-05 |
4400 | 1377             1378 2.289e-05 |
4420 | 1382             1383 2.288e-05 |
4440 | 1388             1389 2.302e-05 |
4460 | 1396             1397 2.351e-05 |
4480 | 1401             1402 2.336e-05 |
4500 | 1409             1410 2.283e-05 |
4520 | 1416             1417 2.316e-05 |
4540 | 1420             1421 2.351e-05 |
4560 | 1426             1427 2.395e-05 |
4580 | 1434             1435 2.380e-05 |
4600 | 1438             1439 2.365e-05 |
4620 | 1445             1446 2.395e-05 |
4640 | 1451             1452 2.409e-05 |
4660 | 1455             1456 2.398e-05 |
4680 | 1462             1463 2.440e-05 |
4700 | 1469             1470 2.475e-05 |
4720 | 1475             1476 2.521e-05 |
4740 | 1484             1485 2.494e-05 |
4760 | 1489             1490 2.502e-05 |
4780 | 1493             1494 2.520e-05 |
4800 | 1502             1503 2.860e-05 |
4820 | 1507             1508 2.505e-05 |
4840 | 1513             1514 2.513e-05 |
4860 | 1521             1522 2.542e-05 |
4880 | 1526             1527 2.570e-05 |
4900 | 1533             1534 2.554e-05 |
4920 | 1540             1541 2.569e-05 |
4940 | 1545             1546 2.625e-05 |
4960 | 1553             1554 2.648e-05 |
4980 | 1559             1560 2.588e-05 |
5000 | 1563             1564 2.651e-05 |
5020 | 1570             1571 2.694e-05 |
5040 | 1577             1578 2.645e-05 |
5060 | 1582             1583 2.673e-05 |
5080 | 1589             1590 2.706e-05 |
5100 | 1596             1597 2.717e-05 |
5120 | 1601             1602 2.726e-05 |
5140 | 1610             1611 2.702e-05 |
5160 | 1615             1616 2.746e-05 |
5180 | 1619             1620 2.722e-05 |
5200 | 1628             1629 2.736e-05 |
5220 | 1633             1634 2.722e-05 |
5240 | 1637             1638 2.779e-05 |
5260 | 1646             1647 2.796e-05 |
5280 | 1651             1652 2.783e-05 |
5300 | 1656             1657 2.788e-05 |
5320 | 1664             1665 2.837e-05 |
5340 | 1669             1670 2.794e-05 |
5360 | 1677             1678 2.825e-05 |
5380 | 1683             1684 2.893e-05 |
