    + --- ---------------- --------- +
    |                plain recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
8000 | 2506             2507 4.480e-05 |
8020 | 2511             2512 4.473e-05 |
8040 | 2517             2518 4.494e-05 |
8060 | 2525             2526 4.554e-05 |
8080 | 2529             2530 4.566e-05 |
8100 | 2536             2537 4.613e-05 |
8120 | 2543             2544 4.593e-05 |
8140 | 2547             2548 4.581e-05 |
8160 | 2554             2555 4.600e-05 |
8180 | 2561             2562 4.601e-05 |
8200 | 2565             2566 4.624e-05 |
8220 | 2571             2572 4.682e-05 |
8240 | 2578             2579 4.610e-05 |
8260 | 2583             2584 4.643e-05 |
8280 | 2592             2593 4.719e-05 |
8300 | 2597             2598 4.737e-05 |
8320 | 2601             2602 4.666e-05 |
8340 | 2610             2611 4.733e-05 |
8360 | 2616             2617 4.659e-05 |
8380 | 2620             2621 4.778e-05 |
8400 | 2629             2630 4.760e-05 |
8420 | 2634             2635 4.758e-05 |
8440 | 2640             2641 4.750e-05 |
8460 | 2648             2649 4.776e-05 |
8480 | 2653             2654 4.823e-05 |
8500 | 2661             2662 4.776e-05 |
8520 | 2667             2668 4.783e-05 |
8540 | 2671             2672 4.768e-05 |
8560 | 2678             2679 4.792e-05 |
8580 | 2686             2687 4.778e-05 |
8600 | 2690             2691 4.857e-05 |
8620 | 2697             2698 4.799e-05 |
8640 | 2705             2706 4.836e-05 |
8660 | 2709             2710 4.856e-05 |
8680 | 2718             2719 4.936e-05 |
8700 | 2724             2725 4.906e-05 |
8720 | 2728             2729 4.982e-05 |
8740 | 2737             2738 4.997e-05 |
8760 | 2742             2743 4.995e-05 |
8780 | 2747             2748 4.952e-05 |
8800 | 2756             2757 4.983e-05 |
8820 | 2761             2762 5.001e-05 |
8840 | 2767             2768 5.003e-05 |
8860 | 2776             2777 5.033e-05 |
8880 | 2781             2782 5.061e-05 |
8900 | 2789             2790 4.999e-05 |
8920 | 2796             2797 5.016e-05 |
8940 | 2800             2801 5.033e-05 |
8960 | 2807             2808 5.018e-05 |
8980 | 2814             2815 5.080e-05 |
9000 | 2818             2819 4.974e-05 |
9020 | 2826             2827 5.068e-05 |
9040 | 2833             2834 5.030e-05 |
9060 | 2837             2838 5.063e-05 |
9080 | 2844             2845 5.109e-05 |
9100 | 2851             2852 5.085e-05 |
9120 | 2857             2858 5.136e-05 |
9140 | 2866             2867 5.172e-05 |
9160 | 2870             2871 5.121e-05 |
9180 | 2874             2875 5.271e-05 |
9200 | 2884             2885 5.181e-05 |
9220 | 2888             2889 5.243e-05 |
9240 | 2894             2895 5.235e-05 |
9260 | 2902             2903 5.236e-05 |
9280 | 2907             2908 5.222e-05 |
9300 | 2915             2916 5.230e-05 |
9320 | 2922             2923 5.254e-05 |
9340 | 2926             2927 5.259e-05 |
9360 | 2934             2935 9.123e-05 |
9380 | 2940             2941 5.239e-05 |
9400 | 2944             2945 5.265e-05 |
9420 | 2951             2952 5.295e-05 |
9440 | 2958             2959 5.347e-05 |
9460 | 2962             2963 5.363e-05 |
9480 | 2969             2970 5.329e-05 |
9500 | 2977             2978 5.345e-05 |
9520 | 2983             2984 5.388e-05 |
9540 | 2991             2992 5.396e-05 |
9560 | 2995             2996 5.379e-05 |
9580 | 3000             3001 5.460e-05 |
9600 | 3009             3010 5.477e-05 |
9620 | 3014             3015 5.370e-05 |
9640 | 3019             3020 5.483e-05 |
9660 | 3028             3029 5.414e-05 |
9680 | 3033             3034 5.462e-05 |
9700 | 3039             3040 5.588e-05 |
9720 | 3047             3048 5.482e-05 |
9740 | 3052             3053 5.499e-05 |
9760 | 3060             3061 5.472e-05 |
9780 | 3065             3066 5.561e-05 |
9800 | 3070             3071 5.479e-05 |
9820 | 3077             3078 5.648e-05 |
9840 | 3084             3085 5.513e-05 |
9860 | 3088             3089 5.541e-05 |
9880 | 3096             3097 5.560e-05 |
9900 | 3103             3104 5.554e-05 |
9920 | 3108             3109 5.710e-05 |
9940 | 3118             3119 5.595e-05 |
9960 | 3123             3124 5.617e-05 |
9980 | 3128             3129 5.624e-05 |
10000 | 3136             3137 5.595e-05 |
10020 | 3140             3141 5.651e-05 |
10040 | 3146             3147 5.655e-05 |
10060 | 3155             3156 5.639e-05 |
10080 | 3159             3160 5.663e-05 |
10100 | 3165             3166 5.670e-05 |
10120 | 3173             3174 5.692e-05 |
10140 | 3178             3179 5.695e-05 |
10160 | 3186             3187 5.789e-05 |
10180 | 3191             3192 5.717e-05 |
10200 | 3195             3196 5.729e-05 |
10220 | 3203             3204 5.805e-05 |
10240 | 3210             3211 5.770e-05 |
10260 | 3213             3214 5.826e-05 |
10280 | 3223             3224 5.788e-05 |
10300 | 3228             3229 5.757e-05 |
10320 | 3232             3233 5.827e-05 |
10340 | 3240             3241 5.781e-05 |
10360 | 3246             3247 5.873e-05 |
10380 | 3252             3253 5.854e-05 |
10400 | 3260             3261 5.842e-05 |
10420 | 3265             3266 5.845e-05 |
10440 | 3270             3271 5.869e-05 |
10460 | 3279             3280 5.886e-05 |
10480 | 3283             3284 5.923e-05 |
10500 | 3289             3290 5.921e-05 |
10520 | 3297             3298 5.945e-05 |
10540 | 3301             3302 5.920e-05 |
10560 | 3309             3310 5.979e-05 |
10580 | 3315             3316 5.934e-05 |
